Date,Day,Corps,GE,Visual,Music
7/3/2018,13,Spartans,24.1,18.3,18.15
7/3/2018,13,7th Regiment,21.8,16.5,17.025
7/3/2018,13,The Cavaliers,31,23.85,23.25
7/3/2018,13,Phantom Regiment,29.1,21.225,22.5
7/3/2018,13,Crossmen,28.4,21.6,22.2
7/3/2018,13,Madison Scouts,26.9,20.25,21
7/3/2018,13,Pioneer,21.1,15.975,15.75
7/3/2018,13,Colt Cadets,19.5,14.85,15.15
7/5/2018,15,Bluecoats,32.8,24.55,24.3
7/5/2018,15,Carolina Crown,32.2,23.8,24.4
7/5/2018,15,Boston Crusaders,31.7,23.75,23.55
7/5/2018,15,The Cadets,30.9,22.45,23.35
7/5/2018,15,Spirit of Atlanta,28.6,20.75,21.2
7/5/2018,15,Music City,25,18.8,17.1
7/5/2018,15,Raiders,20.4,14.95,13.75
7/5/2018,15,Blue Stars,29.6,22.05,22.05
7/5/2018,15,Phantom Regiment,29.3,21.85,22
7/5/2018,15,Colts,28.5,20.9,20.6
7/5/2018,15,Madison Scouts,27.5,20.5,21.25
7/5/2018,15,Genesis,24.9,18.45,19.4
7/5/2018,15,Pioneer,21.5,16.15,16.3
7/5/2018,15,Shadow,17.9,13.35,15
7/6/2018,16,Mandarins,29.6,22.5,22.125
7/6/2018,16,Vanguard Cadets,26.5,18.9,19.05
7/6/2018,16,Blue Devils B,25.8,19.05,18.9
7/6/2018,16,Blue Devils C,16.1,13.2,14.475
7/6/2018,16,Incognito,16.4,13.35,13.35
7/6/2018,16,Santa Clara Vanguard,32.5,24.35,24.05
7/6/2018,16,Blue Knights,30.1,21.9,22.05
7/6/2018,16,The Academy,28.8,21.4,20.8
7/6/2018,16,Troopers,27.2,20.2,20.65
7/6/2018,16,Oregon Crusaders,26.8,18.65,19.65
7/6/2018,16,Pacific Crest,25.9,19.45,19.65
7/6/2018,16,Seattle Cascades,25.5,17.2,18.65
7/6/2018,16,Columbians,22,15,16.85
7/6/2018,16,The Battalion,21.1,16.55,16.75
7/6/2018,16,The Cavaliers,32,24.35,24.15
7/6/2018,16,Phantom Regiment,30.4,22.45,22.65
7/6/2018,16,Crossmen,29.5,22.7,21.75
7/6/2018,16,Colts,28.9,21.75,21.25
7/6/2018,16,Madison Scouts,28,21.15,21.55
7/6/2018,16,Pioneer,21.8,16.45,16.1
7/6/2018,16,Legends,20.6,15.5,17.7
7/6/2018,16,Shadow,16.9,13.45,15.75
7/7/2018,17,Santa Clara Vanguard,33.2,24.8,24.7
